"run","k","rmse","ce"
1,1,0.380554889014897,0.531062030335239
1,2,0.372314885212405,0.509218369722669
1,3,0.369836194336979,0.502956583315632
1,4,0.36782798607313,0.498654724429014
1,5,0.366944793636729,0.497402374996414
1,6,0.366090876139647,0.49576054104271
1,7,0.3654359882757,0.49512386855878
1,8,0.364336123918865,0.492645156198156
1,9,0.363415172736493,0.489926502520024
1,10,0.367456944377078,0.501631732842734
1,11,0.366341311632168,0.498918891678497
1,12,0.367937905469157,0.503410505149499
1,13,0.36496312469223,0.495474515551479
1,14,0.363082266834404,0.490804024558616
1,15,0.363376381798197,0.492048813899859
1,16,0.362958074963293,0.491498248352227
1,17,0.360965533506553,0.486356944653132
1,18,0.360154768909735,0.484772488149791
1,19,0.360649817709469,0.486090661455144
1,20,0.359045290478327,0.482396676911725
1,21,0.358374363800691,0.480891472784694
1,22,0.358131469720696,0.480627286294949
1,23,0.357897921058453,0.480497726909317
1,24,0.357550532854093,0.479775723008539
1,25,0.35733539315881,0.479456781148559
1,26,0.356175590613954,0.476856841130611
1,27,0.356531672362007,0.4782731441346
1,28,0.355596331188998,0.476044752134252
1,29,0.356056258758568,0.477456427277974
1,30,0.355889496631028,0.477212981761325
1,31,0.356103253562991,0.478024322133439
1,32,0.355484145666035,0.476670970624462
1,33,0.355207633513225,0.476146670307191
1,34,0.354861182622564,0.475601077891915
1,35,0.354667362408938,0.475348350945157
1,36,0.354533582651922,0.475214595148801
1,37,0.354429477160259,0.47510448023688
1,38,0.353682432143984,0.473366941160374
1,39,0.353617135976849,0.473397863144371
1,40,0.354285747495138,0.475297199298455
2,1,0.380554889014897,0.531062030335239
2,2,0.372331348711436,0.509419598284514
2,3,0.369837048985742,0.502951509261093
2,4,0.367841972941535,0.498602286712461
2,5,0.36690027235244,0.497456641220551
2,6,0.366805068381756,0.498330392690685
2,7,0.367643613314874,0.500895709413081
2,8,0.364220891295948,0.49197102044245
2,9,0.369184482166515,0.505902706898085
2,10,0.3666534779185,0.499478599617696
2,11,0.365241545462292,0.495407410057588
2,12,0.365484580890091,0.497233306874742
2,13,0.363268134231528,0.49085204199383
2,14,0.36346259812229,0.492145969496424
2,15,0.364137918016035,0.494089517757328
2,16,0.36135437992933,0.487077447096732
2,17,0.361661588565433,0.48806376697284
2,18,0.360505780158995,0.485461139727065
2,19,0.359555568979994,0.483428907520857
2,20,0.359154525036716,0.482715230491427
2,21,0.358198448570199,0.480480119787594
2,22,0.358362079453484,0.481284685084284
2,23,0.357788628208833,0.480045241632132
2,24,0.357533869053045,0.479900330807404
2,25,0.356951662170204,0.478512084015312
2,26,0.356481981038639,0.477732850091851
2,27,0.356175525975577,0.477310705857996
2,28,0.356528014401303,0.47840361205141
2,29,0.356399770976769,0.478147214252374
2,30,0.355190117690545,0.47548554938305
2,31,0.355304966592264,0.476197570082686
2,32,0.354861048124139,0.475146047982656
2,33,0.355216670925274,0.476280980647344
2,34,0.355845864784703,0.478168508547146
2,35,0.353894002568846,0.473497996205623
2,36,0.354184870678424,0.474335846113802
2,37,0.354818935155214,0.476071123276468
2,38,0.354821648826762,0.476323719807778
2,39,0.354049920750676,0.474483360936052
2,40,0.353390296207743,0.473071424423064
3,1,0.380554889014897,0.531062030335239
3,2,0.372332855323422,0.509422992948055
3,3,0.369835855514623,0.502969491577685
3,4,0.367931110570806,0.499093022258684
3,5,0.367062993236142,0.497507653893869
3,6,0.366764505868912,0.498246981338178
3,7,0.365422126522398,0.495118239850759
3,8,0.370620071769725,0.509387029544909
3,9,0.372495453195568,0.514502617472852
3,10,0.367497749302216,0.501479186948469
3,11,0.365568286448642,0.496272200128778
3,12,0.365387197167816,0.496253736035081
3,13,0.365325051246442,0.496753772369485
3,14,0.365036563322859,0.495928340074741
3,15,0.361534926060796,0.487072944281438
