1:sample_5A10	18	15.2	11387933	0.076377	0.072556	251.5	77.6	80.2	35.8	Infinite	2542
2:sample_3A2 	11	 7.3	 9769685	0.187013	0.187709	 -444.1	Infinite	Infinite	 6.0	Infinite	 252
3:sample_3A1 	16	13.0	10730419	0.094265	0.096551	174.3	Infinite	Infinite	70.6	Infinite	1765
4:sample_3A12	20	14.9	10983563	0.080790	0.083753	200.3	Infinite	Infinite	43.6	Infinite	 627
5:sample_5C10	20	17.0	11210216	0.066630	0.070052	151.5	Infinite	Infinite	Infinite	Infinite	6380
6:sample_7A11	13	 9.4	10467864	0.136556	0.134174	217.0	 121.6	 134.3	 8.5	Infinite	 266
7:sample_3A10	20	16.8	11219643	0.068055	0.071261	200.2	Infinite	Infinite	 165.2	Infinite	1553
8:sample_4F10	17	10.0	10166430	0.124256	0.122557	262.2	 168.7	 191.8	11.2	Infinite	 322
9:sample_4B1 	18	11.9	10817183	0.100852	0.097426	223.3	86.0	90.5	16.8	Infinite	 551
10:sample_7A12	14	10.9	10468566	0.117455	0.115413	222.5	 142.0	 156.9	12.6	Infinite	 365
11:sample_4A10	20	15.8	11051805	0.072861	0.070792	183.6	 142.9	 151.6	34.1	Infinite	1096
12:sample_8C10	19	11.8	10543451	0.099998	0.100978	393.5	Infinite	Infinite	21.7	Infinite	 475
13:sample_7E10	17	12.5	10007269	0.125506	0.093225	9.7	 7.3	 7.4	 2.8	19.2	 308
14:sample_7G9	 8	 4.2	 9133264	0.316940	0.358983	 -8.7	Infinite	Infinite	31.2	Infinite	 367
15:sample_19C1	20	17.6	10702222	0.088813	0.064423	 13.9	10.6	10.7	 6.0	20.2	 463
16:sample_19E1	19	17.3	11127461	0.071228	0.064809	164.7	45.8	46.7	29.4	94.6	3504
17:sample_19A1	19	17.5	11342405	0.065537	0.066577	198.1	Infinite	Infinite	 141.5	Infinite	3484
18:sample_18E1	20	18.0	11598729	0.063138	0.063929	160.2	Infinite	Infinite	 143.9	Infinite	3882
19:sample_18D12 	 17	15.9	11251820	0.077852	0.068537	152.3	31.1	31.5	21.5	52.3	3309
20:sample_18A11 	 16	14.8	11156091	0.075827	0.076587	273.5	Infinite	Infinite	 256.2	Infinite	 12013
21:sample_18A10 	 19	16.3	11662892	0.070340	0.064950	177.7	54.8	56.0	35.4	 113.9	4818
22:sample_17A10 	 15	14.1	11659525	0.088538	0.083226	165.7	55.5	57.0	35.5	 121.5	7258
23:sample_17B4   	9	 8.0	 9131556	0.191008	0.176428	 29.2	19.0	19.5	 5.4	Infinite	 559
24:sample_19G1	19	17.8	11669404	0.076205	0.063990	 37.7	23.3	23.5	13.0	60.2	 732
25:sample_13G10 	 12	 8.0	 8866520	0.163699	0.156940	 1091.4	42.8	44.9	 4.8	Infinite	 229
26:sample_12A10 	 18	14.4	11841350	0.080073	0.075235	171.4	61.1	62.8	21.3	Infinite	 796
27:sample_14D1	20	14.6	11718486	0.078945	0.074629	306.1	68.6	70.7	24.6	Infinite	1015
28:sample_14B1	18	12.3	11714598	0.098893	0.101083	 63.7	Infinite	Infinite	22.2	Infinite	 412
29:sample_14A1	10	 7.8	10744885	0.174332	0.172444	242.6	 149.6	 175.2	 9.2	Infinite	 443
30:sample_12A11  	7	 5.1	 8587066	0.314086	0.318692	-68.5	Infinite	Infinite	 2.2	Infinite	 183
31:sample_12F10 	 20	14.2	10998443	0.088966	0.087398	 42.3	 185.8	 204.4	18.6	Infinite	 414
32:sample_12D10 	 18	12.4	10262638	0.113215	0.091438	 16.0	12.1	12.2	 5.4	38.2	 408
33:sample_12C10 	 15	 9.5	10195741	0.137505	0.128546	 49.9	32.1	33.1	 5.0	Infinite	 197
34:sample_13A11 	 18	12.9	 9974150	0.097588	0.084837	 35.2	22.2	22.5	 9.9	 165.1	 515
35:sample_13F10  	8	 6.4	 8637342	0.232245	0.232679	 -710.8	Infinite	Infinite	 9.2	Infinite	 639
36:sample_16A1	14	12.8	 7594634	0.098003	0.097403	240.3	 439.0	 612.2	75.8	Infinite	6833
37:sample_16B10 	 20	18.4	10889302	0.071470	0.062658	 40.8	32.9	33.4	18.6	91.9	1140
38:sample_16D10 	 15	12.8	10232720	0.130951	0.106923	7.2	10.8	10.9	 3.4	44.1	 355
39:sample_17E10 	 20	18.4	11476291	0.078509	0.062524	 23.7	17.3	17.5	 7.2	91.5	 226
40:sample_16A11 	 20	18.5	11462719	0.061827	0.064631	 75.9	Infinite	Infinite	95.0	Infinite	 941
41:sample_16F10 	 18	16.5	11147341	0.077316	0.069374	 78.3	36.7	37.3	21.3	97.8	1772
42:sample_17G10 	 16	14.8	11087948	0.094703	0.091633	 30.1	96.1	 101.2	23.5	Infinite	 959
43:sample_17A12 	 17	15.8	10437200	0.088770	0.069659	 12.8	14.1	14.3	 7.7	32.5	 493
44:sample_14H12 	 19	18.3	10393523	0.073218	0.062258	 51.2	26.1	26.5	17.5	45.6	1881
45:sample_15D10 	 18	13.7	 9978805	0.096513	0.094412	 30.0	 139.2	 151.0	13.7	Infinite	 298
46:sample_15F10 	 18	16.1	 8644402	0.076673	0.071028	108.5	52.1	53.5	35.2	98.1	6555
47:sample_15A1	19	16.9	10264412	0.089824	0.067803	 15.2	12.0	12.1	 7.4	21.3	 704
48:sample_15C1	16	13.3	 8247629	0.099584	0.094972	 39.8	63.7	66.5	21.0	Infinite	1097
49:sample_2A6	13	 9.8	10326733	0.137555	0.120526	 23.4	16.1	16.3	 7.2	85.7	 682
50:sample_2E2	 5	 3.6	 7328064	0.400949	0.497033	 -4.4	Infinite	Infinite	Infinite	Infinite	2963
51:sample_5F10	18	14.0	11331024	0.088169	0.087252	 99.6	 309.7	 363.4	20.7	Infinite	 451
52:sample_5G6	 5	 4.8	 8976702	0.360435	0.340564	 58.7	13.3	13.8	 4.7	Infinite	2238
53:sample_1E4	 5	 4.8	 8751673	0.362133	0.376548	-22.9	Infinite	Infinite	Infinite	Infinite	106973
54:sample_1E10	20	18.5	10459764	0.068182	0.062606	 61.6	52.9	54.1	30.1	 166.8	2336
55:sample_1A11	16	14.8	11843996	0.076339	0.072604	262.6	79.4	82.1	58.6	 126.4	 24609
56:sample_1A10	20	19.1	 9614071	0.064875	0.062730	 65.9	 138.1	 145.9	50.9	Infinite	2555
57:sample_1A1	 7	 6.7	 7366426	0.241867	0.246207	 24.1	Infinite	Infinite	20.9	Infinite	1567
58:sample_8F10	17	11.2	 8638604	0.118506	0.102599	 22.3	17.4	17.6	 6.0	Infinite	 311
59:sample_7C6	 8	 3.6	 5829932	0.355920	0.405851	 -7.5	Infinite	Infinite	 9.5	Infinite	 223
