"region","AICc_ibd","AICc_null","dAICc_vs_null","effect_geodist_ibd","effect_intercept_ibd","effect_intercept_null"
"NW",-2532.57307399236,-2488.15309560936,-44.4199783829999,0.0014666731624413,0.000280998455071894,0.00817500778010023
"NE",-306.038046206394,-252.071661157228,-53.9663850491658,0.0210005644344978,-0.0489640190903992,0.0549072096755453
"S",-1159.67756399623,-969.407115691841,-190.270448304389,0.0446081864143147,-0.095299818991775,0.14314277684023
