"k_value","AICc_ibd","AICc_null","dAICc_vs_null","effect_geodist_ibd","effect_intercept_ibd","effect_intercept_null"
4,14.6521374296757,-9.03001265395153,23.6821500836273,0.0299873290401583,-0.124752566671659,0.0859213742302638
5,-40.9099591605328,-34.9043964159729,-6.00556274455995,0.0228858080181851,-0.0619880682028568,0.0927111976366195
6,-79.5865420882732,-60.530561266542,-19.0559808217311,0.0243659523485214,-0.076623466718107,0.0881272412332983
7,-112.829166776052,-87.9661566514151,-24.8630101246366,0.0221260711591791,-0.0416283501440372,0.104525916578654
8,-150.849251786077,-120.938598588167,-29.9106531979099,0.0223109250202683,-0.0404204441858223,0.106691389364291
9,-176.377428284201,-152.568520344646,-23.8089079395546,0.022914932633042,-0.0355804856047288,0.113273762716586
