"long","lat","year"
153.238006,-29.311957,"2021.61095890411"
151.94315,-27.600558,"2021.6"
153.015822,-27.93577,"2021.61369863014"
153.36625,-27.978212,"2021.59452054795"
153.201417,-25.337422,"2021.58630136986"
153.003611,-27.478611,"2018.0904109589"
145.317225,-16.249245,"2021.45753424658"
146.089436,-17.818599,"2021.49863013699"
146.087885,-17.818773,"2021.49315068493"
153.198625,-25.335962,"2019.1698630137"
152.784088,-27.473638,"2021.48493150685"
145.462061,-16.08754,"2018.58630136986"
153.345347,-28.065121,"2004.08469945355"
153.326524,-28.666027,"2012.66393442623"
152.919953,-26.823995,"2021.58904109589"
152.590042,-27.632208,"2021.23287671233"
153.241969,-28.230436,"2013.17260273973"
148.77431,-20.284334,"2021.4904109589"
145.67312,-16.96558,"2021.32054794521"
152.963389,-27.483157,"2021.56164383562"
153.37719,-28.002204,"2021.56712328767"
131.499285,-12.765395,"2021.47123287671"
131.312215,-12.566207,"2021.47123287671"
131.499518,-12.764963,"2021.46849315068"
133.137038,-14.923892,"2021.45205479452"
131.83533,-13.822877,"2021.45479452055"
152.976473,-27.475767,"2013.24657534247"
153.280823,-27.528835,"2021.54520547945"
138.485,-18.701636,"2021.45479452055"
133.137427,-14.924428,"2021.45205479452"
132.472105,-14.312112,"2021.44383561644"
131.835865,-13.823722,"2021.45479452055"
133.068473,-14.918728,"2021.44931506849"
132.472135,-14.312117,"2021.44383561644"
145.611039,-17.040015,"2010.23835616438"
153.01615,-27.934317,"2021.53150684932"
153.020016,-27.928227,"2021.53150684932"
131.109153,-13.238285,"2021.4301369863"
153.031931,-27.927013,"2021.53150684932"
132.250243,-14.489368,"2021.43287671233"
145.562427,-17.001695,"2017.54520547945"
145.33999,-16.593988,"2020.03005464481"
131.110453,-13.237492,"2021.42465753425"
132.25144,-14.489673,"2021.43287671233"
130.954368,-13.02455,"2021.40821917808"
146.070824,-17.913879,"2021.47123287671"
153.016036,-27.935653,"2021.49863013699"
130.952053,-13.023147,"2021.41095890411"
152.281747,-27.596001,"2020.98633879781"
145.317299,-16.249307,"2021.45753424658"
130.95375,-13.024381,"2021.40821917808"
133.067306,-14.918667,"2021.44657534247"
130.834327,-12.437386,"2021.47671232877"
130.953842,-13.024481,"2021.40821917808"
130.917039,-12.436533,"2021.39452054795"
153.08609,-26.537965,"2021.48219178082"
132.253482,-14.494001,"2018.01917808219"
152.695213,-25.789477,"2021.4904109589"
148.741853,-21.155797,"2021.23287671233"
152.695311,-25.789414,"2021.49315068493"
130.832798,-12.436596,"2021.47397260274"
152.69525,-25.788878,"2021.48219178082"
148.742078,-21.155808,"2021.11780821918"
130.95183,-13.024012,"2021.41095890411"
152.695377,-25.788702,"2021.48219178082"
146.157252,-17.947516,"2019.27397260274"
130.833834,-12.437981,"2021.47671232877"
130.991166,-12.493152,"2008.45355191257"
152.695381,-25.789388,"2021.46849315068"
152.695381,-25.789388,"2021.46849315068"
145.476136,-16.532986,"2021.47397260274"
145.461034,-16.087248,"2021.45205479452"
132.792797,-12.859133,"2021.44657534247"
143.732147,-14.711428,"2021.42191780822"
153.534457,-27.424977,"2021.45753424658"
152.695378,-25.789575,"2021.44657534247"
152.718004,-26.827383,"2021.44657534247"
130.685093,-13.16364,"2021.44383561644"
146.807738,-19.254047,"2021.44657534247"
153.053438,-26.398044,"2021.42191780822"
153.418849,-27.821787,"2008.98907103825"
145.418367,-16.169283,"2021.41643835616"
131.108212,-13.238671,"2021.42465753425"
145.413897,-16.180449,"2007.97260273973"
153.211372,-27.885507,"2009.06575342466"
152.767663,-25.288154,"2021.20821917808"
153.280778,-27.899672,"2021.37808219178"
145.754135,-16.901442,"2019.0301369863"
153.316956,-28.033264,"2020.04644808743"
128.733691,-15.775643,"2021.40547945205"
131.304994,-12.564503,"2021.36438356164"
